"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.401481700E-2,-8.252254687E-3,-8.977865577E-1,-2.671416283E0
1.043602760E-1,-1.901284903E-1,-2.355292797E0,-5.488158464E-1
1.143700420E-1,-1.129716113E-1,-2.278665543E0,-4.952331483E-1
1.245323950E-1,-4.623770714E-2,-2.174611092E0,-4.469035268E-1
1.442772690E-1,2.637040615E-2,-1.941052437E0,-3.016902208E-1
1.543480690E-1,5.844875798E-2,-1.811741471E0,-2.566160262E-1
1.644188700E-1,8.382657170E-2,-1.686396599E0,-2.435643077E-1
1.746422590E-1,9.973356128E-2,-1.572510600E0,-2.441744953E-1
1.946312720E-1,1.070997864E-1,-1.389212012E0,-2.574739456E-1
2.047020730E-1,1.014431193E-1,-1.316281676E0,-2.658361793E-1
2.147728740E-1,9.293363243E-2,-1.252744317E0,-2.747080624E-1
2.248436750E-1,8.003626764E-2,-1.187099934E0,-2.808706164E-1
2.349755110E-1,6.168992072E-2,-1.123697758E0,-2.751860619E-1
2.451683820E-1,2.977253310E-2,-1.076540709E0,-2.413995564E-1
2.553612530E-1,2.868350409E-2,-1.034015536E0,-2.089040726E-1
2.654930890E-1,2.645795606E-2,-9.919090271E-1,-1.776115149E-1
2.756554420E-1,2.124812454E-2,-9.537992477E-1,-1.746985763E-1
2.953392800E-1,2.540924586E-2,-8.971170783E-1,-2.207254469E-1
3.054100810E-1,2.803756669E-2,-8.701995611E-1,-2.365105450E-1
3.154808820E-1,2.878492326E-2,-8.461594582E-1,-2.299273163E-1
3.255516830E-1,3.118011169E-2,-8.114367723E-1,-2.132294327E-1
3.356224830E-1,3.330584988E-2,-7.600425482E-1,-1.942013353E-1
3.457238020E-1,3.052347526E-2,-7.080923915E-1,-1.676381677E-1
3.557640850E-1,1.611118950E-2,-6.497482061E-1,-1.304274648E-1
3.658348860E-1,-3.068350488E-3,-5.906366706E-1,-9.218590707E-2
3.759056860E-1,-2.215951122E-2,-5.338816047E-1,-5.965635553E-2
3.859764870E-1,-3.145044670E-2,-4.823329151E-1,-3.863975406E-2
3.960167700E-1,-2.120260894E-2,-4.328730404E-1,-4.079287499E-2
